review,sentiment
"This is the kind of film that might give you a nightmare, besides that it's a lot of fun.<br /><br />Hardware Wars is the only good spoof on Star Wars, other films like Spaceballs have failed. This is the only good spoof film I have ever seen, it doesn't rip-off Star Wars, it makes fun of it, and that's what spoofs are supposed to be.",positive
"When the Romulans come, they will not be bearing gifts; no, they bring with them war - war and conquest. As any familiar with this episode know, it is a redux of the war film ""The Enemy Below"" from the fifties. The obvious difference is that instead of a battleship and a submarine (or an American Destroyer & German U-boat) engaged in lethal war games, it is two starships in outer space. In Trek history, about 100 years before the events here, according to this episode, Earth fought the Romulan Wars. After about 5 years of conflict, a stalemate brought about a treaty and the institution of the Neutral Zone, a boundary between us and the Romulan Empire. Now, on this stardate, the treaty appears to be broken, as our outposts are being attacked and destroyed by some weapon of immense power. Yes, the Romulans are back, testing their new war toy, and Kirk must now earn his pay: he must make decisions that would affect this sector of the galaxy, such as figuring out how to avoid a...oh, I dunno - an interstellar war, maybe? <br /><br />I think what makes this episode so effective is that it doesn't shy away from the grim aspects of war, as one would expect of a mere TV episode from the sixties - especially an episode from a science fiction show. It's all very tense and gripping, like the best war films, such as when Kirk sits down with his key officers for what amounts to a war council. The writers and the actors aren't kidding around here: this is all preparation for a ghastly conflict, potentially the beginning of another years-long battleground. In the final analysis, Kirk's aim is to keep this battleground to just the two ships - but even then it's an endeavor fraught with peril and probable casualties. In fact, I believe this episode holds the record for ship casualties by the end of it. Right at the start of the episode, we see the devastation such battle can produce, in that supposedly well-protected outpost. Then begin the cat-and-mouse war games between the Enterprise and the Romulan ship - it's as exciting as any conflict we've seen on the big screen. Of course, if you're not into war films, you'd have to look for other things to admire in this episode.<br /><br />What elevates this episode even further is the revelation of just what and who the Romulans are - it's an electric shock of a sort. Now we have even further inter-crew conflict on the bridge of the Enterprise - war does tend to bring out the worst in some people. Due to still nasty attitudes about race in this future, the tension is ratcheted up even further - Kirk has his hands full in this one. I suppose the one weakness in the story is the convenient relenting of the bigotry issue by the conclusion. On the Romulan side, actor Lenard makes his first appearance in the Trek universe as the Romulan commander; he's terrific in the role, the flip side of Capt. Kirk or Capt. Pike, take your pick, done up to resemble Spock more than a little. Surprisingly, his character is not war hungry as we would expect, another eye-opener for this episode. The actor would next return to this universe as Sarek, Spock's father, so he's nothing if not versatile. It's also telling how the first appearance of such characters as the Romulans is usually their best shot, as it is here. They showed up in ""The Enterprise Incident"" next.",positive
"I first saw this movie when it was released in the U.S. in 1984. I have seen it many, many times since. What strikes me about the film is the incorporation of the art of the rehearsal into the lives of the characters and visa versa. Throughout the movie the two intertwine and at times one is never too sure if one is watching the lives of the characters or a scene from a rehearsal. This continues up to the climax of the film. All these years later my friends and I still love to debate whether or not ""Carmen"" is really stabbed at the end. From the reactions of the other characters, to the stylized murder, it is open to debate. The passion of the dance, the quality of the acting, the love of art, and the brilliance of the performances all combine to create a superb movie that, once again, blends and twists the line between life and art.",positive
"One thing is for sure...you should not watch this film if you are having a bad day. The story is based around a sad event and follows a character who has to live with a sin that he cant handle. The story is drip fed to you rather than the usual dumbed down explanation so it keeps you wondering what is going on. Eventually the dots are joined up and the performances make sense. All the characters were OK and Wil Smith did another good day at the office.<br /><br />There are no doubt a lot of moral questions to be asked but if you just accept and buy into his agony then it is easier to accept what he has chosen to do. Whether you agree or disagree is irrelevant. The journey it takes you on is interesting enough, if not overwhelming.<br /><br />A good enough film that unfortunately leaves you a little sad at the end. I would recommend this film if you like the sort where you have to think and not just watch explosions and fights.",positive
"Okay, that was just brilliant. I wish that the rest of Season 1 had been this strong. It really needed more episodes like this. <br /><br />The cast worked perfectly, even though they were all nobodies back in the day. Writing was fantastic and so was the editing. Great job in all accounts. <br /><br />The episode was thrilling, suspenseful and just kept you guessing until the very end. Which is what most MOTW episodes had tried, but failed until now. <br /><br />The first FIVE star episode for me. Really good, almost like a movie. I didn't even remember it being this good. I think it's even better than the great horror movie called 'The Thing'.",positive
"This film came out 12 years years ago, and was a revelation even for people who knew something of the drag scene in New York. The textbooks on drag performance say nothing of these vogueing houses. Anthony Slide's 'Great Pretenders' says nothing. Julian Fleisher's ""The Drag Queens of New York: An Illustrated Field Guide"" with its flow chart of influence that pulls together Julian Eltinge, Minette, the Warhol queens, and the 90s club scene - and postdates the film - ignores the houses completely. Even Laurence Senelick's ""The Changing Room"" - the closest thing that we have to a definitive book on drag performance rushes quickly past the film and does not give the background information that one would have expected from it.<br /><br />I understand from the film itself,and various articles I found on the web that this house system goes back decades. The major film performance by a house member prior to 1990 seems to be Chrystal La Beija in ""The Queen"", 1968. The historical context is the biggest missing part of ""Paris is Burning"".<br /><br />The film is valuable because it focuses on a scene otherwise being ignored. It is a valuable snapshot of life in 1989. The unfortunate fact that Venus Xtravaganza was murdered during filming provides a very dramatic ending, but this is not the only film about transsexuals to include a real-life murder. As we now know, Dorian Corey had a mummified corpse in her literal closet, but this did not come out until three years later.<br /><br />Of historical importance, but we still need someone to do either a book or a documentary film that provides more context.",positive
"Mikhail Kalatozov's The Cranes are flying is a superb film. Winner of the golden palm at Cannes Film Festival, it has an excellent cinematography and performance by Tatyana Samojlova, the only Russian actor ever to win an award in Cannes for a performance. She plays Veronika, a teenager in love with her boyfriend, happy and without preoccupations, with plans of getting married. Her life will get upside down when World War II strikes and her boyfriend volunteers to the army. The film depicts the effect of war on a teenager love and on the people that stayed and saw their loved ones go and fight, waiting for a letter or other information. It is a portrayal of lost innocence. Samojlova does a magnificent job, and her character transformation will break your heart. The camera movement is fast with a lot of close-ups, it is a dancing camera. The first scene in the stairs is fantastic, but it isn't the only one, there is later a scene when Veronika attempts committing suicide, and another, in my opinion one of the most powerful scenes in movie history, the bombing of Veronika's house when she runs the stairs in the middle of fire, to find her apartment completely destroyed. Simply great! 10 out of 10.",positive
"I first saw this movie at a premiere-party in Mr. Zwarts hometown Fredrikstad. There, between directors, musicians and other Norwegian celebrities I laughed and laughed... I just couldn't stop. If you like a comedy with black humor, sharp lines and excellent acting - this is one flick you HAVE to see! It's like mixing ""True Romance"" with ""The Wedding Singer"" and add a dash of ""Mad about you"" Hilarios!<br /><br />10 Points!",positive
"Can Scarcely Imagine a Better Movie Than This<br /><br />Hey, before you all go ""Chick Flick"" on me. I am a very Large Strong & Masculine, Macho Man, who happens to think this was one of the better movies of the last 20 years. <br /><br />The acting was Superb and the Story was Marvelous. This is wonderful medicine for the heart and soul. The Acting could not have been better nor the movie better cast. <br /><br />I have known for a Good while that Mercedes Ruehl, along with Holly Hunter, Joan Plowright, Dame Edith Evans, Sissy Spacek, Judi Dench is among the greatest actresses ever to appear on film. And of course Cloris Leachman (also in this film) in my view may in fact exceed them all in the shear magnum of her talent and varied roles she has appeared in over the years.. At any rate this was an Amazing cast. This film was like a book that you cannot lay down, and when you have reached the last page wish for more...still more. I cannot for the life of me understand why this film here on the IMDb only rates a 3.9<br /><br />That rating here is utterly Amazing to me. Or perhaps not. Perhaps in fact I do understand it ever so well and that is what makes me really sad. It makes me ever so sad that films like ""American Beauty"" ""Leaving Las Vegas"" ""Sexy Beast"" and ""Fight Club"" ratings skyrocket off the charts in popularity when they in fact at least in this viewers opinion should have received an ""R"" rating...R that is for ""Rubbish"". Hey o.k., I realize there are a lot of different stories in this world for a lot of different audiences, but it is a sad commentary when this lovely, powerful...extraordinarily, Directed, Acted, and written film seems to be over looked. <br /><br />It obviously was at the Academy Awards as well....How Sad. And How predictable. My summation is that if you want to see a powerful, Happy, Sad, beautiful story? watch ......preferably own this film...",positive
"This 1934 adaptation of Somerset Maugham's novel put Bette Davis on the map as a movie actress. She might have won an Academy Award for her performance but the films was made on loan, so her studio didn't push for her. Her acting in this one doesn't come off well by today's standards. As the heartless waitress who jerks Philip, a sensitive medical student, around and nearly ruins his life, Davis is way too shrill, almost demonic. Director John Cromwell, who usually elicited good performances from his actresses, was perhaps overwhelmed by this one. Davis is watchable, for sure, but so strident and predatory as to seem scarcely human. I imagine the character of Millie as quieter, less feminine than Davis, with maybe a touch of the tomboy. Davis is such a strong, immediate presence that's there's no air of mystery to her, which makes Philip's attraction to her seem more overtly masochistic than it should be.<br /><br />As Philip, Leslie Howard is excellent. His wan, somewhat wilted good looks are perfect for this failed aesthete. Nor does he impose a personal interpretation on the part, as, say, Dirk Bogarde might have done, which gives his work a rare clarity. He seems completely in control here, as he should be, playing a man with a rational intellect who is in the grip of irrational emotions he cannot manage or even fully satisfy, as the object of his affections moves him in ways he cannot understand. Howard was a fine actor, too often cast in standard romantic parts which compelled him to fall back on charm, which he doesn't use here.<br /><br />It's been so long since I've read the book I don't feel comfortable commenting on the movie's faithfulness to it. I think it captures the spirit of the story well enough, and that it has in Howard a perfect Philip Carey. The sexual undercurrents are muted, and at times Philip behaves so masochistically that in the absence of strong sex feelings makes one wonder about the character's sanity, surely not Mr. Maugham's intention. Thanks to Howard's performance, Philip remains firmly in focus, as one can see in his various responses to and yearnings for Millie the extremes to which a reasonable intellect will go to understand the irrational, in himself and in others. <br /><br />Overall, a very good film, a little stilted at times, due to its age, it evokes London nicely, and is well acted for the most part.",positive
"I remember seeing this one in the theatres when it came out, having no idea what it was going to be about and being so pleasantly surprised that I vowed to buy the video when it came out. <br /><br />While I won't go too far into dissecting this film, I will say that I gave it an 8/10, for all the reasons you can read in the other user's reviews.<br /><br />What I will say is this: <br /><br />The first 10 minutes of this film are incredible. It's as close to a textbook audience grabber as I've ever seen. I once put this movie on at a party, where everyone was winding down and getting ready to leave. I just wanted to see what would happen if I showed them the first ten minutes.<br /><br />Everyone, who watched the opening, stayed to the end.",positive
"I came across this movie on DVD purely by chance through a Blockbuster rental. Voyage to the Planets is an excellent BBC 2hour documentary/drama about a future ""grand tour"" of the solar system. Taking pains to adhere to current knowledge about the planets and space flight, and plausible extropolations from existing technology, this movie tells the story of astronauts on a journey to Venus, Mars, Jupiter, Saturn, and Pluto.<br /><br />The special effects are excellent for a TV show. I found the actors believable as astronauts. The situations presented are for the most part plausible, and you learn a lot about the science of the planets and spaceflight! Only two minor complaints: I found some of the situations and dialogue somewhat maudlin at times. Furthermore I am unsure that a single crew and ship would be sent on a single mission to see all those destinations at once time. More than likely, visits to Venus, Mars, Jupiter, etc. would/will be separate missions.<br /><br />They didn't try to skimp on this show with production values. The scenes of Venus and Mars were actually filmed in the northern deserts of Chile--the driest area on earth and a dead-ringer for the Martian landscape. Weightlessness sequences were filmed in a diving Russian transport jet. The producers could have fudged on either of these using studios and CGI, but chose the real thing instead.<br /><br />I would like to especially mention the marvelous music that was composed for this movie. Don Davis's thrilling theme is the first thing that grabs you when the movie starts, as the magnificent shot of the Pegasus passes the screen and David Suchet intones ""it is the destiny of man to explore the stars..."".<br /><br />Watching this on a small television screen is one regret I have. What a thrill to see this in a movie theatre, or even better an IMAX presentation!",positive
"Yes, this show had a lot of male frontal nudity and yes, over the years the plot lines became over the top, melodramatic and very unrealistic, however, it didn't matter because the show is great. You really get involved in the characters and every character, no matter how minor or major, is perfectly cast.<br /><br />I can't imagine anyone else except JK Simmons play the neo-Nazi racist rapist leader, nor anyone else playing Tobias Beecher except Lee Tergesen. The transformation of his character from season 1 to season 2 is amazing. However, the character that MADE Oz OZ was CHRIS KELLER (played by Christopher Meloni). He didn't have relations with anyone else in prison except Beecher (well, except Ronnie Barlog, but that was only to get Ronnie to stop playing around with Keller's lover boy, Beecher). Their relationship transcended sexes and Tom Fontana actually made us care about those two and want those two to be together.<br /><br />I loved Vern's soft spot for his kids in the show and how Fontana made sympathetic characters out of all these heinous criminals that we grew to adore, even Simon Adebesi. <br /><br />However, some plot lines were totally unbelievable and unrealistic: * A guy building a bomb in oz * Guys standing in a spotlight in their windows in their pods looking at other men plotting something in their mind - too over the top. * Drugs getting in oz * Everyone in the rehab group used or sold drugs and sister Pete never helped anyone in six years. * People getting killed in the gym, supply closet and kitchen. * No one hurting Ryan's mom * No one fighting Cyril outside the boxing ring (except Vern of course) * Two inmates with tools being left alone in the elevator shaft and one of them dying with no investigation. * Karl Metzger (guard) gets killed and no one investigates. * Governor holds all his press conferences at the prison * All an inmate needs to do is say ""i want to see Glenn"" or ""i want to see mcmanus"" and they are taken to them no questions asked. * People die every week in Oz * On the outside, people kill someone and get 20 years, up for parole in eight, but if they kill someone on the inside they go to death row almost immediately * There is no on site paid staff in the kitchen or mail room - inmates run both departments no questions asked * Aging drugs for inmates to substitute as time served * Ryan has no friends or associates but he never gets hurt, killed, maimed, raped or beaten. * The guys NEVER flush the toilets when they go to the bathroom or throw up. * An NBA scout comes TO the prison to recruit for an NBA player (yeah right)<br /><br />However, with all these flaws, this show is still awesome. It's gruesome, brutal, sexy, edgy, raw and innovative. Dean Winters, Scott William Winters, JK Simmons, Christopher Meloni, Luiz Guzman, Adele (the guy that played Simon Adebisi), Eammon Walker, Lee Tergesen, Terry Kinney, mUms, Male Alexander, LL Cool J, etc, etc, etc. All are awesome and made the show worth watching. <br /><br />I highly recommend renting this on DVD. Season six comes out 9/06 (next month). First five seasons are on DVD - watch them and then watch them again with audio commentary. I loved the director's commentary with Chazz Palmentari. The sequence with Andy Schillinger running down the cafeteria tables and then falling into the hole was an awesome, top notch shot!!!! Kudos! And Kathy Bates directing Family Business and the famous wrestling scene between Beecher and Keller - simply amazing!! Brilliant!!! That'd have to be so weird for Meloni to touch Tergesen's private part in front of an icon like Kathy Bates in that one scene!! Wow! Pulled that off beautifully, pun intended!<br /><br />I'm waiting for Oz: The Next Generation!!!! (like with Star Trek, etc.) C'Mon!!! Let's get it started!!!!",positive
"While it's generally acknowledged one of the first martial arts movies to play here in the West, it's real impact comes in retrospect. Lo Lieh is VERY low key throughout and many of the fight scenes, while often hailed as innovative (which they were at the time of the movie's initial release), are a tad tame compared to what came after (particularly after Bruce Lee, who became the instant standard by which all others will forevermore be judged). That's not to say that FIVE FINGERS OF DEATH/KING BOXER is anything less than a classic in its own right, because it is. Like many of the leading characters in many martial arts movies, the character Lieh plays lays low through most of the movie for a reason- but, when he cuts loose, he effectively cleans house. You can't ask for more than that.",positive
"Yeah,it's low budget. Yeah,it's one of Candy's earliest films, but it is maybe his funniest! John Candy was not so far removed from his SCTV days in ""Going Berserk"" and it shows. If you don't crack up when Candy tries to help a guy with his groceries while being hand-cuffed to an escaped cohort in the process of having sex with his girlfriend with only the apartment door separating them (huh?, see the movie!), or the way Euguene Levy (the creator of Kong Fu Yu) is talking to his mom on the phone, or just the countless number of facial expressions that only Candy could deliver you better check your pulse! If you like the John Candy of ""Only the Lonely"" this is may not be a movie I would advise you to see, but if you enjoy the SCTV days of John Candy, this movie is a must see!",positive
"This film is exactly what its title describes--an attempt to get you to buy into what the writers have to offer.<br /><br />First, it's kinda fun to see the 1996-style Toronto I remember with all its silly haircuts, sunglasses, clothes, and attitude. It really hasn't changed any; just a nice, safe, cheap, provincial little urban backwater that makes a great meeting place for international film types! It's also amusing to see Kenny and Spenny head to L.A. and find out that it's Toronto all over again, only with a strange assortment of beach bums, musicians, fortune tellers, and yet more uppity film types.<br /><br />I don't see Pitch as a film to be enjoyed; it's not entertainment unless the viewer enjoys watching someone's aspirations being trampled. I take Pitch as a warning that power and money is really held by studio execs and production houses. Would-be (and ""successful"") writers, musicians, and actors are still mere transients even when they reach the Big Time.<br /><br />So, Kenny and Spenny are trying to sell you a warning. Buy it or don't, but the message is still there.",positive
"I was fortunate enough to be an extra in this movie when I was about 13 during the roller rink scenes. My junior high school drama class was invited to participate. It was a fantastic experience.<br /><br />Gary Busey, Charles Martin Smith and Don Stroud played the music live, all day! As a musician, I can appreciate the tireless work and dedication these guys put in to their roles. They must have played those songs 20 times. It's very difficult to maintain consistency and energy under those conditions. This is visible during a cut to a close-up on ""That'll Be the Day,"" but fortunately the unsuspecting public probably wouldn't have picked it up.<br /><br />Skating around all day, getting the day off from school and being transported back in time was a incredible thrill. I also had my first ""date"" on film. I had to walk a girl up to the ticket booth. Woo hoo! Even with an out-of-date haircut and hot lights melting the vaseline in my hair, it was still worth it. Fun stuff.<br /><br />The movie is top notch and is highly satisfying as a whole. Busey delivers his best role ever and the supporting cast is superb. I'm glad to have participated in a great film of the day. To think I could have been in Corvette Summer or something. Not.<br /><br />A funny ironic ending to this is that years later I was in a video store in Malibu looking at the movie the week it was released on video. Gary Busey walked in and stood right next to me. I showed him the cover and babbled on how great he was and how I was an extra and whatnot. Pretty weird, but very cool, for what it's worth.",positive
"To fight against the death penalty is a just cause. Everyone who is sane in Europe would think so. In the USA everything is different. The film seems to demonstrate in a first stage that justice can be won against the racist bigot death penalty craving American justice. A young man is freed from death row thanks to a law professor who went back to defense counseling for this particular case. But the film has a sequel. Justice in the USA is entirely governed by the aim of vengeance. Miscarriage of justice is just the same governed by vengeance. One person in the local Public Attorney Offfice has a young man prosecuted on false charges. This Public Attorney's officer drops the charges after a while and the young man walks out free. But he loses his college scholarship and he is castrated by some vengeful people for whom there is never any smoke without a fire. He hides his shame and swears to get his vengeance. But he also needs to satisfy his sexual needs which are more mental than hormonal for sure but even stronger because mental and no longer hormonal and he can only do that with little girls. He apparently teams with another serial killer who is after the same kind of preys. One day the local cops follow their intuition, guided by some vague circumstantial elements in the assassination of a young girl, and they arrest the young chap we are speaking of. They beat him up and interrogate him for 22 hours with nothing but blows and blows and telephone books and guns and Russian roulette. He confesses. Sent to death row, he asks his grandmother to go get the law professor in Massachusetts who is the husband of the Local Public Attorney's representative that had him falsely prosecuted some years ago and the vengeance is on the rails. It will fail but it shows that as soon as one in the line of justice, police work and other security forces steps off the line of absolute legality, some unjust act is done that can ruin even the best accusation case and that can nourish the worst deepest imaginable thirst for vengeance. To charge someone on circumstantial elements is just as bad as to let circumstantial elements ruin the work of the police or of justice. The best intentions on the police side are ruined by some personal involvement and vengeful intention, just as much as the life of a person can be jeopardized by circumstantial elements inflated to the size of evidence, which in its turn will jeopardize the whole case by being just circumstantial, hence easily discardable, with a good lawyer. The film then is a deep reflection on the necessity to respect standards and regulations all along the police and justice line if we don't want to make a mistake, which in its turn of course does not justify the death penalty since anyway it goes against the deepest belief Americans are supposed to have: ""We hold these truths to be self-evident , that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty, and the pursuit of Happiness."" (Declaration of Independence) Life is an unalienable Right that was given to man by his Creator, which means no one but the one who gave it can take it away. Only God can take the life of a person away. The death penalty is the arrogant appropriation of a power that we do not have. Even if we do not evoke God, we cannot justify the death penalty except as an act of vengeance, and here the film shows vengeance is the worst possible motivation in the rendition of justice and in the establishment of public peace. If vengeance is pushed aside there is no other justification for this death penalty. And there can always be a mistake in that pursuit not of Happiness but of vengeance.<br /><br />Dr Jacques COULARDEAU, University Paris 1 Pantheon Sorbonne, University Paris 8 Saint Denis, University Paris 12 Créteil, CEGID",positive
"As talk-shows go, Larry King Live is not bad, and since he occasionally gets good guests, it's a show to turn on once in awhile, but not compulsively. When Bill Maher, Carl Bernstein, a former president, or other substantive guests sit across from him, it's not too bad. Other times, he tends to host guests involved in the latest celebrity scandal which contributes absolutely no intelligent information to the country and feeds a largely uneducated public that wants to hear the latest gossip about movie and TV stars. During the OJ Simpson trial, it seemed like every other guest on his show was related to the case. But is this really journalism? Or the National Enquirer on the tube? Sometimes, it comes off a little bit like trash television--Jerry Springer in a sit down interview with phone calls instead of a live audience.<br /><br />On the other side, King's show is definitely much better than Bill O'Reilly whose show is nothing more than a rightest-political platform of the Rush Limbaugh variety. That said, Larry King is not a bad interviewer, but alas, he is not a great one. King does not always come off like he completely comprehends when intellectual material is being presented, especially if it is by a scholar or historian with a new book on subtle aspects of politics. Always seems like the minute King can't quite deal with the issue at hand, that's when he turns to the phone calls, maybe hoping someone out in the country will have a better question than he has. He might interview someone like David Gergen, but may not have read any of his books. Sort of like the movie producer that never bothers to read the script.<br /><br />When it's an entertainment celebrity, no problem. He can come off like he's thoroughly knowledgeable since the material is not that substantive anyway. Talking to Elizabeth Taylor about her relationship with Richard Burton is not exactly rocket science. And I notice he usually has seen the star's latest movie. Watching a movie takes much less time and contemplation than reading a book. However, if it's the likes of John Dean or Bob Woodward, King comes off a little like he didn't quite finish his homework. So off to the phones.<br /><br />If you are looking for real in-depth interviewing, Terry Gross of NPR is probably the best interviewer in the United States. She reads and/or researches everything written by or about her guests beforehand and has a working knowledge of those areas. I don't see King quite doing that. Granted, he probably has an audience 1000 times larger than Terry Gross, which may say more about the American audience than King. In short, Larry is better than Bill but not as good as Terry.",positive
"but just as entertaining and random! Love it or hate it, but don't expect a sophisticated plot or nail-biting cliffhanger. Think of it like Seinfeld, but without the follow-through and repeat performances of wacky characters (well...so far; i have a feeling i will develop favourites as the season continues).<br /><br />""Creature Comforts"" is not for the faint of humour - it's meant to be enjoyed with the least amount of effort on your brain's part. Which is why this show embodies everything i need in a program when i get home from work in the evening: superficial conversation in the background with just the right amount of ""cute"" to the characters for me to enjoy when i eventually look up from the computer to see what i'm missing.<br /><br />Funnier than most of today's sitcoms, calmer than an evening at NASCAR. Just the right mix of dead air and comebacks. Can't wait for the next one.",positive
"This was my favourite film as a child, and I have been in the stage production a few times so it will always remain my favourite muscical and I doubt anybody could ever re-make the story of Oliver Twist on screen, any better than this one did.<br /><br />My all-time favourite ''bad guy'' has to be Oliver Reed as Bill Sikes. Not only did he scare the life out of my when I watched it as a 6 year old, but now as a woman I can empathize more with Nancys character, the bar maid/prostitute who helps Oliver get the life he deserves.<br /><br />Jack Wilde as the artful dodger, was fantastic, and I don't think anybody could ever out-do him, as the street-pocket picker, and best friend of Fagin. The music is fantastic, especially Fagin's numbers, I'm also quite thankful they didn't give Bill Sikes a musical number, it wouldn't of worked with him being such a sinister character.<br /><br />I think Carol Reed did an excellent job of Nancy's sticky ending, keeping it a G rated movie by disguising her beating, but giving enough away to show the violence of Bill towards her. <br /><br />This movie is both charming, and charismatic as a musical sing-along, as well as being a moving drama that follows a young boy as he tries to find where he belongs in life.",positive
