,review,sentiment
40720,"Bela Lugosi plays a doctor who will do anything to keep his wife looking young and beautiful. To this end, he drugs brides during their wedding ceremonies to make it look as if they are dead so he can steal their bodies. I'm not exactly sure what he does with the bodies. I don't remember it ever being fully explained. All I know is that he extracts something from them and injects it in his wife. (I'll just guess that it's spinal fluid. Spinal fluid was all the rage of mad scientists in the 40s.) You can pretty much guess the rest from here.<br /><br />There are a couple (well, really more than a couple, but I'll only write about two) of problems that I have with this movie. One is the way Bela is used. Sure, he does a decent enough job in his own overacting sort of way (BTW, the rest of the cast is simply abysmal). But, to have him hiding in the back of a hearse or having him creep into the female reporter's bedroom to do nothing is just silly. Also, why have him beat and/or kill every henchman he has? Is it to make him look evil? Well, someone who is kidnapping comatose brides doesn't really need to be made to look more evil.<br /><br />The second problem I have is the idea of drugging brides. Why brides? Wouldn't any female under the age of 20 do? Watching Bela go through these gyrations to get his victims, I was reminded of the idiotic Fisherman in I Still Know What You Did Last Summer. In each case, there would appear to be an easier way of reaching your objective than employing a seemingly impossible plan that depends way to much on circumstances out of your control. (BTW, an alternate title for this movie is The Case of the Missing Brides. I guess that partially explains the need for 'brides'.)",negative
1427,"I got this thing off the sci-fi shelf because I remembered seeing the first of the series when I was a kid. I'd rented the second one and it was a decent ""B"" sci-fi. This one was out right obnoxious. The ""special"" effects on the cars looked like something my 4 year old cousin could have done. The two assistant female cyborgs were so terrible that I literally cringed every time they came on the screen. The plot left so much to be desired that it made me sick. I don't know what anyone was thinking when they agreed to be a part of this movie but I'm sure that they'd have done better to have left it at 2 movies. The movies in this series are going from good to decent to terrible. I only hope that no terrorist groups have access to this movie as it makes an excellent torturing device.",negative
29464,"History and experience over the past couple of decades has shown us that intellectuals talking about sex is about the unsexiest and unintellectual thing anyone can do, but this wasn't quite as obvious back in 1986. Basically, the idea in this film is that these characters insatiable drive to find comfort, security, and pleasure in sexual acts is actually the unhealthy motive that makes them so unbearable to themselves--which they hide from themselves with more sex. This drive is linked to ""the decline of the American Empire"", as expressed in an early interview within the movie.<br /><br />So the idea is that relatively detestable people talk about sex, and that that talk is supposed to reveal how detestable they are as people. Arcand at least keeps giving it drive and momentum by doing interesting things with the camera such as isolating most of the characters in single frames, revealing their ultimate loneliness, and cutting rapidly between them, showing how they are more at war with each other than they are at agreement. And to give Arcand credit, this is pretty much what intellectual life is, a constant struggle with other intellectuals to stand out, even when everyone knows that standing out means standing alone.<br /><br />But yeah, the characters and action are unsexy and kind of pathetic. I think this film is much more an aspect of its time than it is something meant to last, which makes it kind of dated. It's also the exact type of mental buffing in dialog and references to people like Susan Sontag that makes art-house films so unpopular around the populist entertainment moviegoers. In all, I'll take it anyway--it has its place basically among the exact type of people the characters are--it's just that it's not really interesting or important to anyone who isn't those characters.<br /><br />--PolarisDiB",negative
20296,"Everyone involved with this project should be ashamed as to the result of their efforts. Oh. I laughed a coupe of times , but I laughed a couple of times during Schindler's list also. They really screwed up a good premise.",negative
5933,"Anita and Me seems to be little more than an excuse for Meera Syal, the author of the novel and screenplay, to air her prejudices, grievances and general antipathy towards the English. The general sentiment of Indian superiority over the English in this film is foul.<br /><br />The English people in this film are portrayed as overweight, violent, foul-mouthed, promiscuous, engaging in child neglect, stupid, uneducated, racist, ugly, eating poor food, and dim-witted -- tellingly, only by turning to Indian culture can the local priest be ""redeemed"" at the end of the film.<br /><br />By contrast, the Indian family are beautiful, clever, educated, can speak many languages, are caring and loving parents, and grammar-school fodder. The film is so insidiously prejudicial that I am astonished the BBC funded it at all. Had it been the other way round, an English family in an Indian community depicted this way, the film would have been seen as racist.<br /><br />There were a few moments where my eyebrow shot so far up my forehead, I thought it would lodge in my hairline. First, the gossip scene between the women at the Divali celebration -- undertext: the English are dirty and promiscuous -- and the men -- undertext: English women are prostitutes. Second, the meal with Anita where Neema's family lie to her about cutlery -- undertext: the English are so stupid, you can make them do anything.<br /><br />But the underlying contempt towards anything English -- even English weddings are an object of scorn -- is evident all the way through the film. The character of Anita was drawn so appallingly -- almost the fallen woman trope -- that I finished the film feeling angry.<br /><br />This is not a ""Bend it like Beckham"" where the humour is focused on loving exaggerations of a community's behaviour and customs from somebody within that community, and is a film about two girls from different backgrounds coming together. Instead, Anita and Me seems to convey that a form of cultural apartheid is inevitable, as the English are almost an version of the Indian Untouchable caste, and this is underscored by a thinly-veiled series of attacks upon the film's ""other"" community: the English.<br /><br />I felt Anita and Me is a hate-filled, grievance-based piece of work. On that basis, the BBC should not have funded its production.",negative
41274,"The opening was a steal from ""Eight-legged Freaks"", a film that is everything this one isn't. Stilted and pedestrian are the words that apply - along with others that can't be repeated..! Drifter type returns to his home(?)town, meets up with old friends etc.... the usual annoying kid, single mother,local loudmouth and so on..Bad special effects, alien ship, atmospheric disturbances, (hey, didn't the Director see ""Close Encounters""?). Good acting? Good story? Good camera angles? Good cutting? Not here! Do not rent, unless you are sharing the cost and have a lot of beer handy. Do not watch on TV, go and drink a lot of beer instead - you'll enjoy it more!",negative
8870,"If you are a fan of slap-stick that has terrible writing, awful acting and cliche after cliche this one is for you.<br /><br /> There is far too much to list for the reasons why this movie sucks. In a brief synopsis, people with a combined iq of 100 journey to New Mexico on a race for 200 million dollars. And yes they are all apparently super heroes, as they can do many things such as jump onto trains that are traveling 80+ mph, survive numerous car crashes, and endless instances of outright cartoonish roadrunner and coyote antics.<br /><br /> If you are a teen, or dont want to think for a movie, this one is for you.. Not one actor outside of Lovitz is believeable at all.. Lovitz saves the movie from a 1 with the Hitler bit.<br /><br /> 2/10 (save yourself the 2 hours of pain and $4)",negative
6813,"This is your only spoiler warning. What a sad state of our cinema when unprofessional junk like this is considered ""Oscar worthy"".<br /><br />I divide material into three levels. The first is the stage theatre. Here the viewer is stagnant and the power rests in the presentation of the actor and, most importantly, in the power of the writer. A good playwright is better than a good screenwriter because he or she knows the ways of words better. The best playwrights know how to create imagery that the barren stage cannot show.<br /><br />The second level is film. In this medium, a weaker writer can be used, but the viewer is not sitting in one spot the entire time. With film, the context can take the qualities of visual poetry and meaning in addition to strong writing. Furthermore, film can manipulate everday elements like sound and color in ways that are almost surreal.<br /><br />The final level is literature. In this context, everything is imagined by the author, translated onto paper, and then re-imagined by the reader. Far more detail can go into a novel than is conceivable for a film studio.<br /><br />This is why adaptations can go up, but never down. Novelizations are never better than the base film (see the dime-per-dozen ones at your local book store), whereas the film cannot convey the same power as the original book (Catch-22 and LotR). Movies can rarely be made into plays and plays can always be made into movies.<br /><br />As for 'The Last Picture Show', it fails. It is a film that should stick to the stage because the director is too stupid to shoot anything right. The characters talk the same and act the same, it's pure futility. Add to that an obnoxious soundtrack and you have an entirely unwatchable film.<br /><br />I saw this in my high school drama class with about 20 other wannabe thespians. The instructor raved about how sad the movie was. What is sad is how such stagnant work is considered depressing when the material itself is hilarious. Had this been in color the scenes of impotence, the pool party, and the old hooker would be considered great comedy. Look what Lucas did with 'American Graffiti' a few years later.<br /><br />The American secondary education system needs to start teaching ABOUT film rather than trying to teach WITH film. Two visually powerful downbeat films: Apocalypse Now and Barry Lyndon. Rely on them, not this. It's the 'Last' I want to see of it. 1 out of 5.",negative
49945,"This picture started out with good intentions, Bacon the scientist out to test the theory of invisibility, and Shue is cute as usual in her role. It all falls apart after that, it's your typical Hollywood thriller now, filmed on a soundstage with special effects galore, minus any kind of humour, wit or soul. In other words, don't waste your time watching this. Get the audiocassette tape with John DeLancie as the Invisible Man instead, also starring Leonard Nimoy. Now that was good, and HG Wells is well served, unlike with this mess.",negative
5231,"One would think that with all the lavish care and expense that went into this made-for-TV movie, it would reflect something of the taste and manners of the upper class couple--Wallis Simpson and the Prince of Wales--instead of being a mawkish, unappetizing historical romance.<br /><br />Nor is it helped by the fact that JANE SEYMOUR and ANTHONY ANDREWS give stiff, rather uncomfortable to watch performances in which the events move much too slowly to hold attention.<br /><br />It's hard to understand why a star of OLIVIA DE HAVILLAND's caliber would wish to play the supporting role of Aunt Bessie since the role is so colorless she just about fades out of sight. At this stage in her career, Olivia was appearing in so many ""nobility"" roles requiring a regal presence but nothing more.<br /><br />A trivial movie best left forgotten among all the made-for-TV movies of that era.",negative
21192,"When I go to see a movie about zombie's, I'm not expecting oscar calibre performances, or writing on the level of The Godfather, but I do expect the actors to at least not look like their straining to read their cue cards, and dialogue that doesn't sound like it was typed out 10 minutes before the actor reads it into the camera. This movie was just awful, I actually got up and left about 25 minutes in and went next door and watched Cold Creek Manor, that wasn't very good either, but it seemed like Citizen Kane compared to this pile of crap. On the plus side, the girls were very pretty, that's probably the only thing that kept me in my seat for longer than the first 5 minutes, in fact I left after the hottest one got killed, there wasn't anything to hold my interest after that.",negative
4760,"Loony Tunes have ventured (at least) twice into the future. The first time was with the brilliantly funny ""Duck Dodgers"". The latter time was with this  um  effort. ""Loonatics Unleashed"" isn't without merit, and might be considered a good product were it not that it isn't up to Warner Brothers quality. WB cartoons are noted for their cheeky humor, appealing at least as much to adults as to children. These pedestrian superhero episodes, on the other hand, cannot fail to convince adults to pass them up.<br /><br />The premise of the series is that 6 ordinary individuals (2 bunnies, a Tasmanian devil, a duck, a roadrunner, and a coyote) live on the ""city-planet"" of Acmetropolis and acquire super powers when a meteor strikes the planet in 2772. What's confusing is that the titles section features these individuals with a count-up to 2772 from the 21st Century. Cute, but frelling stupid.<br /><br />In each episode, the super sextet  amid mildly amusing but essentially banal banter  fight various super villains. For the most part, these are types that appear in every mediocre superhero adventure series and even some of the better ones. Like many mediocre superhero series, this one takes its villains far too seriously for the context. And of course these guys are the only characters that laugh  the usual evil laugh, of course. Why is it that villains in predictable superhero adventures always  ALWAYS  laugh evilly at every opportunity? Animated material of this sort seems to leave laughter exclusively in the province of villains and (occasionally) their henchpeople and/or henchthings.<br /><br />In point of fact, the makers of this series missed their best bets right from the get-go. The superpowers of the characters are sometimes based on their previous normal abilities, but sometimes not. The problem here is that we don't see enough WB looniness. Lexi and Ace have fairly ordinary biologically generated energy weapons and have virtually no personality traits one could describe as ""Bugs-like"". What we have here is basically the silly and drekish ""Teen Titans"", including its overly ""modern"" animation ""look"", but with animals. Feh.<br /><br />The other misstep by the program's creators is (or are) the villains. As noted before, these are not terribly imaginative and do the evil-laugh bit excessively. Amazingly, the writers totally missed the obvious technique of making villains from stock WB characters as well as the protagonists. Adding to the fun could have been, say, Jupiter Sam  as well as The Fudd, still hunting wabbits  as well as Tech E. Coyote converted into a really neurotic villain  and so on. Ah, the sadness of missed opportunities.<br /><br />Sadly, this whole production has gone into too much overtime (that is, a 2nd season). Nevertheless, we can rejoice that there's something new out there for the 14-going-on-9 crowd. The rest of us can hope for a 3rd season of Duck Dodgers.",negative
878,"When it was released this film caused a sensation. I watched it and was thrilled. Beautiful, usually young, naked women filmed in the classy style we knew so well from director Hamiltons photography. His photographs never become porn and the same is true for this movie. Today I saw it again and was bitterly disappointed. The soft core in extremely slow paced scenes, all filmed with some Vaseline on the lenses, actually is all there is. There is no real story, the characters remain beautiful and beautifully filmed bodies, but they are not real creatures with a soul. Actually nothing happens. It is like Hamilton is photographing using moving pictures rather than stills. And this gets so boring after a while. I even didn't watch the whole thing the second time, for I fell vast asleep. That is all that remains of this masterpiece: it is a very good sleeping pill. And you will never become addicted to it!<br /><br />Back then 7 out of 10, now 3 out of 10",negative
37142,publicity got me to the theatre<br /><br />advice will take you away from this waist of time.<br /><br />very bad everything.<br /><br />do you really want to see a monkey talking with a technological device?<br /><br />X,negative
418,"Okay, I've watched this movie twice now, I have researched it heavily on the net, I have asked several people on there opinions. I have even gone to the length of reading the original Sheridan Lafanu Classic 'Carmilla', a book that this movie is supposed to be based on. I feel that the best way to review this movie is to describe a game to play whilst watching it. As the plot of the movie doesn't seem to make any sense at all, here is the plot of the book.<br /><br />Laura lives in a castle in Syberia with her Father, Mr De Lafontaine. They carry on with their lives blissfully and peacefully. One day they get a letter from the 'General' a man who has made it his mission in life to avenge his daughters death. He makes claims of supernatural powers being at work, and explains that he will visit them soon. Meanwhile, a chance encounter with a strange woman results in the Lafontaines looking after her Daughter, Carmilla, for several months. Soon Laura starts to be overwhelmed by strange dreams, and begins to come down with a strange illness. Who is this mysterious Carmilla? And just what has she to do with Laura's condition, and the General?<br /><br />I have invented this game and would like as many people as possible to play it, and let me know what their results are. I even have a catchy name, and would have a jingle too, but I can't be bothered with that. It's called the ""this movie doesn't make any sense"" game.<br /><br />All you have to do is, whilst watching the movie, try to come up with a complete plot that explains what is happening. I mean complete, all questions answered, everything makes sense, absolutely complete.<br /><br />It will have to answer such questions as ... <br /><br />* Why can vampires walk around in day light?<br /><br />* Why are they all lesbians?<br /><br />* Why is a girl called Bob? and why does she shoot herself?<br /><br />* When is the movie a dream and when is it real?<br /><br />* Why does killing zombies appear to be an accepted part of life that doesn't make anyone bat an eyelid?<br /><br />* Why does Travis Fontaine spot and run down a zombie without slowing down whilst driving his car, yet when faced with a woman with an obvious hostage in the back of her car, accept the excuse that she is a zombie too?<br /><br />* And why does he then let a girl, which he later openly reveals that he knows is the head vampire, drive with him in his car?<br /><br />* And then let her drive off, alone with his daughter in a stolen car?<br /><br />What the hell is the asylum scene all about?<br /><br />* What the hell is the green goo all about?<br /><br />* Why does the head vampire suddenly start dressing like a nurse?<br /><br />* Why are there never any vampires fighting Zombies?<br /><br />* What is the significance of the necklace? what is it made of? why does it kill vampires? and how does Jenna know that?<br /><br />In fact sod it, it's just as much fun trying to come up with as many questions about this movie too.<br /><br />I have my plot, and I have to admit it is not quite there, but it is a pretty good effort.<br /><br />In Conclusion<br /><br />'Vampires vs Zombies' has no moment in it where there are actually Vampires fighting Zombies. Everyone in the movie seems to know exactly what is going on, yet they seem very reluctant to let the audience in on this. And somehow it is based on a classic 19th century horror novel. How? Why? What the hell is going on?",negative
29182,"The Golden Era of Disney cartoons was dying by the time the end of the 90s. This show Quack Pack shouldn't even be considered a DuckTales spin off because the show barely had anything to do with DuckTales. It's about a teen-aged Huey, Dewey and Louie as they make trouble for their uncle Donald and talk in hip-hop lingo and they are fully dressed unlike in DuckTales. I prefer the little adventurous nephews from DuckTales. There are humans in Duckburg and the ducks are the only animals living in Duckburg. There's no references of Scrooge McDuck. The stories are repetitive, the plot is boring but the animation is good. If you want lots of slapstick humor, I recommend this to you. If you want a better Disney show watch ""Darkwing Duck"" or ""DuckTales"".",negative
7359,"I'm just throwing in this review to show that I'm not crazy -- I like a lot of Wynorski's work -- Deathstalker 2, Chopping Mall, Against the Law are fast-paced and highly enjoyable -- just to prove I'm not blind, I have to mention this, along with some Shannon Tweed ""Body Chemistry 3 or 4 or something"", are the lousy ones -- I've got nothing against drawn-out sex sequences, but Julie Strain's breasts are so unnatural looking you can't help but stare at them - which may be the desired effect but I didn't enjoy staring at them -- and several members of this cast seem depressed or disinterested -- The ""erotic thriller"" was the worst thing to happen to low-budget flicks ever, and thank God that their day has more-or-less done.",negative
45084,"I caught this on IFC last week and I thought it was typical of the indie short subject film: heavy on style, little on substance and originality. Does it comes as any surprise that a coming out film stars an unusually attractive (and blond to boot) boy with 70s shag hair and too-cool-for-school clothes? Plus, this film wallows in late 1970s chic, which works for some (Sofia Coppola's ""The Virgin Suicides"" comes to mind) but not for this director.<br /><br />Another reviewer compared this to Harmony Korine's work and I agree. Yet I don't view this as a positive thing (what has HE done lately, anyway?). ""Bobbycrush"" is really just a waste of time and energy for all involved. If you happen to see it late night on cable, turn the channel and watch something else instead.",negative
2061,"4 out of 10.<br /><br />This film was neither funny as a whole nor was it even worthing investing any kind of emotion into the characters. Eugene Levy is probably the most funny.... The rest of the cast do their jobs, but the story never really gets very deep and there are a lot of holes in the plot that never get filled. This just wasn't very much fun, despite being funny at times.<br /><br />",negative
19460,"This is my first Almodavar film. I'll confess we chose it mainly because we knew this had the enticing prospect of Antonio Banderas in gay sex scenes.<br /><br />Unfortunately, that is about all that this film has to recommend it. I consider myself a fairly sophisticated viewer, I like European films, ""art"" films, and I am generally able to recognize a quality film even if it is not to my particular taste.<br /><br />But this film was a complete blank to me. The plot was ridiculous, the characters lifeless, the box called it a ""hilarious comedy"" but I didn't laugh once. Loosly and awkwardly constructed, with a lot of pointless dialogue. I don't get this at all-- it seems like an amateurish effort. Can someone enlighten me?",negative
